Date,TimePt,Day,Replicate,Sample,Chlorophyll-a
9/23/24,T6,12,3,Axenic-1006_Control_30,1369.12
9/23/24,T6,12,1,Axenic-1006_HW_20,705.2
9/23/24,T6,12,2,Axenic-1006_HW_20,1325.26
9/23/24,T6,12,3,Axenic-1006_HW_20,706.96
9/23/24,T6,12,1,Axenic-1006_HW_25,1532.14
9/23/24,T6,12,2,Axenic-1006_HW_25,1454.97
9/23/24,T6,12,3,Axenic-1006_HW_25,1385.12
9/23/24,T6,12,1,Axenic-1006_HW_30,1810.99
9/23/24,T6,12,2,Axenic-1006_HW_30,2743.83
9/23/24,T6,12,3,Axenic-1006_HW_30,1457.71
9/25/24,T7,14,1,OTB-1006_Control_20,1397.78
9/25/24,T7,14,2,OTB-1006_Control_20,2065.68
9/25/24,T7,14,3,OTB-1006_Control_20,1364.75
9/25/24,T7,14,1,OTB-1006_Control_25,1581.47
9/25/24,T7,14,2,OTB-1006_Control_25,1599.09
9/25/24,T7,14,3,OTB-1006_Control_25,1359.47
9/25/24,T7,14,1,OTB-1006_Control_30,1453.36
9/25/24,T7,14,2,OTB-1006_Control_30,519.33
9/25/24,T7,14,3,OTB-1006_Control_30,1030.33
9/25/24,T7,14,1,OTB-1006_HW_20,1199.46
9/25/24,T7,14,2,OTB-1006_HW_20,1374.49
9/25/24,T7,14,3,OTB-1006_HW_20,546.38
9/25/24,T7,14,1,OTB-1006_HW_25,1111.55
9/25/24,T7,14,2,OTB-1006_HW_25,593.96
9/25/24,T7,14,3,OTB-1006_HW_25,1086.04
9/25/24,T7,14,1,OTB-1006_HW_30,1437.34
9/25/24,T7,14,2,OTB-1006_HW_30,751.7
9/25/24,T7,14,3,OTB-1006_HW_30,938.19
9/25/24,T7,14,1,Axenic-1006_Control_20,482.05
9/25/24,T7,14,2,Axenic-1006_Control_20,753.48
9/25/24,T7,14,3,Axenic-1006_Control_20,1852.88
9/25/24,T7,14,1,Axenic-1006_Control_25,1364.58
9/25/24,T7,14,2,Axenic-1006_Control_25,3454.94
9/25/24,T7,14,3,Axenic-1006_Control_25,1457.91
9/25/24,T7,14,1,Axenic-1006_Control_30,2762.95
9/25/24,T7,14,2,Axenic-1006_Control_30,1395.14
9/25/24,T7,14,3,Axenic-1006_Control_30,1923.19
9/25/24,T7,14,1,Axenic-1006_HW_20,825.77
9/25/24,T7,14,2,Axenic-1006_HW_20,2342.73
9/25/24,T7,14,3,Axenic-1006_HW_20,1455.24
9/25/24,T7,14,1,Axenic-1006_HW_25,2230.67
9/25/24,T7,14,2,Axenic-1006_HW_25,1228.69
9/25/24,T7,14,3,Axenic-1006_HW_25,2249.27
9/25/24,T7,14,1,Axenic-1006_HW_30,3478.55
9/25/24,T7,14,2,Axenic-1006_HW_30,3141.83
9/25/24,T7,14,3,Axenic-1006_HW_30,2812.47
